Morphospecies;EcogroupList;Spinose
Acarinina africana;1;0
Acarinina alticonica;1;0
Acarinina angulosa;1;0
Acarinina aspensis;1;0
Acarinina boudreauxi;1;0
Acarinina bullbrooki;1;0
Acarinina coalingensis;1;0
Acarinina collactea;1;0
Acarinina cuneicamerata;1;0
Acarinina echinata;1;0
Acarinina esnaensis;1;0
Acarinina esnehensis;1;0
Acarinina interposita;1;0
Acarinina mcgowrani;1;0
Acarinina mckannai;1;0
Acarinina medizzai;1;0
Acarinina nitida;1;0
Acarinina pentacamerata;1;0
Acarinina praetopilensis;1;0
Acarinina primitiva;1;0
Acarinina pseudosubsphaerica;1;0
Acarinina pseudotopilensis;1;0
Acarinina punctocarinata;1;0
Acarinina quetra;1;0
Acarinina rohri;1;0
Acarinina sibaiyaensis;1;0
Acarinina soldadoensis;1;0
Acarinina strabocella;1;0
Acarinina subsphaerica;1;0
Acarinina topilensis;1;0
Acarinina wilcoxensis;1;0
Astrorotalia palmerae;1;0
Beella digitata;4;1
Beella megastoma;4;1
Beella praedigitata;4;1
Catapsydrax africanus;4;1
Catapsydrax dissimilis;4;1
Catapsydrax globiformis;4;1
Catapsydrax howei;4;1
Catapsydrax parvulus;4;1
Catapsydrax stainforthi;4;1
Catapsydrax unicavus;4;1
Clavatorella bermudezi;4;1
Clavigerinella akersi;4;1
Clavigerinella caucasica;4;1
Clavigerinella colombiana;4;1
Clavigerinella eocanica;4;1
Clavigerinella jarvisi;4;1
Cribrohantkenina inflata;2;0
Dentoglobigerina altispira;1;0
Dentoglobigerina baroemoenensis;3;0
Dentoglobigerina binaiensis;4;0
Dentoglobigerina galavisi;3;0
Dentoglobigerina globosa;3;0
Dentoglobigerina globularis;3;0
Dentoglobigerina larmeui;3;0
Dentoglobigerina prasaepis;4;0
Dentoglobigerina pseudovenezuelana;3;0
Dentoglobigerina rohri;4;0
Dentoglobigerina sellii;4;0
Dentoglobigerina tapuriensis;4;0
Dentoglobigerina venezuelana;4;0
Eoglobigerina edita;3;1
Eoglobigerina eobulloides;3;1
Eoglobigerina spiralis;3;1
Fohsella birnageae;3;0
Fohsella fohsi;3;0
Fohsella lenguaensis;3;0
Fohsella lobata;3;0
Fohsella paralenguaensis;3;0
Fohsella peripheroacuta;3;0
Fohsella peripheroronda;3;0
Fohsella praefohsi;3;0
Fohsella robusta;3;0
Globanomalina archeocompressa;3;0
Globanomalina australiformis;3;0
Globanomalina chapmani;3;0
Globanomalina compressa;3;0
Globanomalina ehrenbergi;3;0
Globanomalina imitata;3;0
Globanomalina luxorensis;2;0
Globanomalina ovalis;2;0
Globanomalina planocompressa;3;0
Globanomalina planoconica;3;0
Globanomalina pseudomenardii;3;0
Globigerina angulisuturalis;1;1
Globigerina bulloides;2;1
Globigerina ciperoensis;2;1
Globigerina druryi;1;1
Globigerina eamesi;1;1
Globigerina falconensis;1;1
Globigerina officinalis;1;1
Globigerina praebulloides;1;1
Globigerina umbilicata;1;1
Globigerinatheka barri;1;1
Globigerinatheka curryi;1;1
Globigerinatheka euganea;1;1
Globigerinatheka index;1;1
Globigerinatheka korotkovi;1;1
Globigerinatheka kugleri;1;1
Globigerinatheka luterbacheri;1;1
Globigerinatheka mexicana;1;1
Globigerinatheka semiinvoluta;1;1
Globigerinatheka subconglobata;1;1
Globigerinatheka tropicalis;1;1
Globigerinella adamsi;4;1
Globigerinella calida;3;1
Globigerinella obesa;3;1
Globigerinella praesiphonifera;3;1
Globigerinella siphonifera;3;1
Globigerinoides altiapertura;1;1
Globigerinoides bisphericus;1;1
Globigerinoides conglobatus;1;1
Globigerinoides diminutus;1;1
Globigerinoides extremus;1;1
Globigerinoides fistulosus;1;1
Globigerinoides mitra;1;1
Globigerinoides neoparawoodi;1;1
Globigerinoides obliquus;1;1
